gene_name	gene_id	genome_id	start	stop	strand	assembly
FlhB	NYTO01000108.1_8	NYTO01000108.1	4589	5743	1	GB_GCA_002683535.1
FliL	NYTO01000108.1_1	NYTO01000108.1	29	607	1	GB_GCA_002683535.1
FliM	NYTO01000108.1_2	NYTO01000108.1	645	1616	1	GB_GCA_002683535.1
FliN	NYTO01000108.1_3	NYTO01000108.1	1672	2019	1	GB_GCA_002683535.1
FliO	NYTO01000108.1_4	NYTO01000108.1	2267	2710	1	GB_GCA_002683535.1
FliP	NYTO01000108.1_5	NYTO01000108.1	2707	3483	1	GB_GCA_002683535.1
FliQ	NYTO01000108.1_6	NYTO01000108.1	3501	3767	1	GB_GCA_002683535.1
FliR	NYTO01000108.1_7	NYTO01000108.1	3775	4596	1	GB_GCA_002683535.1
MotA	NYTO01000108.1_15	NYTO01000108.1	10666	11430	-1	GB_GCA_002683535.1
MotB	NYTO01000108.1_14	NYTO01000108.1	9463	10626	-1	GB_GCA_002683535.1
